caller;recipient;dt;duration
+79305179732;+79320590135;2020-02-01 19:29:53;386
+79044321363;+79159121272;2020-04-13 22:05:36;327
+79536661498;+79858429808;2020-03-18 11:11:45;73
+79190384824;+79880977698;2020-02-26 17:48:32;678
+79428668382;+79729717947;2020-04-28 17:02:52;691
+79253110192;+79812468800;2020-02-06 21:35:40;336
+79472464010;+79385592937;2020-05-22 12:30:05;734
+79376249781;+79606086738;2020-02-21 12:16:50;192
+79318886864;+79329654975;2020-05-25 18:35:04;-1
+79514451156;+79013483459;2020-05-28 22:42:53;499
+79870237946;+79113449774;2020-01-21 16:54:21;423
+79729225818;+79788763222;2020-02-11 13:59:46;301
+79152697212;+79486904218;2020-05-28 18:19:07;439
+79342376328;+79980275762;2020-04-27 06:41:02;259
+79097661017;+79286095628;2020-02-14 11:40:18;280
+79256770908;+79066028576;2020-01-16 11:25:53;926
+79128336240;+79180985553;2020-04-22 01:24:00;-1
+79864088078;+79763084521;2020-01-19 07:50:15;-2
+79610907210;+79105284330;2020-02-07 08:38:48;447
+79391656982;+79044778714;2020-01-21 18:16:53;761
+79799884052;+79463501333;2020-01-18 06:51:22;956
+79837498700;+79105284330;2020-04-26 04:28:49;580
+79729717947;+79035723941;2020-04-25 04:13:39;-2
+79400654005;+79513712192;2020-03-31 09:56:19;-1
+79819376145;+79435850776;2020-03-08 17:09:18;22
+79987797980;+79794344500;2020-02-15 10:50:41;805
+79211341670;+79082453868;2020-05-26 16:21:59;934
+79084238781;+79020403241;2020-01-04 17:18:13;589
+79777755232;+79858429808;2020-01-25 09:37:26;145
+79606086738;+79656190881;2020-03-03 06:45:38;89
+79704937503;+79382870864;2020-02-08 13:16:02;655
+79967435327;+79570457507;2020-04-17 12:33:45;-2
+79637748907;+79266151534;2020-01-22 19:24:25;918
+79191866654;+79847387615;2020-02-09 14:20:15;35
+79878847274;+79983853744;2020-02-15 01:14:27;794
+79926444889;+79882994952;2020-01-26 16:02:35;416
+79748939206;+79113618278;2020-03-12 03:30:28;-2
+79213185384;+79594742232;2020-03-24 15:43:33;66
+79054026179;+79777755232;2020-03-26 06:48:11;212
+79013483459;+79645083008;2020-04-08 16:09:44;-1
+79827873183;+79080466144;2020-01-17 12:48:56;406
+79359493630;+79428668382;2020-02-19 23:29:03;298
+79329518317;+79213185384;2020-05-11 04:53:43;227
+79210243119;+79396450711;2020-04-11 07:05:36;293
+79606086738;+79680307351;2020-01-12 11:37:50;854
+79657139198;+79488931918;2020-05-01 07:03:38;881
+79129144235;+79743830987;2020-02-03 01:49:45;239
+79082453868;+79556546669;2020-05-15 12:29:30;-2
+79359217534;+79687031290;2020-05-29 15:26:17;268
+79514451156;+79451974866;2020-02-22 00:57:26;572
+79261435570;+79841430347;2020-02-12 09:05:51;484
+79053025711;+79880063064;2020-05-01 00:11:57;897
+79267285698;+79331708009;2020-05-27 11:59:38;724
+79389160254;+79261088918;2020-02-14 04:07:58;-1
+79013743431;+79660286108;2020-01-02 18:16:31;739
+79827938649;+79275584616;2020-03-15 05:47:23;28
+79146832755;+79342376328;2020-05-23 23:50:04;471
+79731568994;+79426855814;2020-01-29 13:34:50;-2
+79613856090;+79882994952;2020-02-14 13:17:54;-1
+79771674370;+79443646159;2020-02-03 06:45:02;677
+79994363784;+79841430347;2020-01-09 16:31:15;-1
+79755448270;+79628289534;2020-05-29 23:04:18;400
+79721573398;+79207523013;2020-04-21 07:42:33;988
+79113187342;+79440794991;2020-04-18 09:55:33;126
+79896237169;+79866911726;2020-03-12 11:39:28;859
+79849189913;+79986051879;2020-02-04 13:42:54;598
+79944966369;+79083030674;2020-04-05 03:43:31;654
+79996552358;+79808425823;2020-03-21 19:54:52;660
+79318886864;+79970343873;2020-02-17 12:27:48;527
+79916830644;+79695733207;2020-03-22 14:50:15;47
+79563201410;+79110903456;2020-05-23 19:13:47;84
+79594742232;+79336781617;2020-02-21 01:06:50;695
+79215636704;+79545086785;2020-03-24 13:20:41;-1
+79267757119;+79699925860;2020-01-22 14:33:56;831
+79287529631;+79729225818;2020-04-24 21:47:53;591
+79882994952;+79771674370;2020-05-21 20:59:48;926
+79704937503;+79906939777;2020-01-06 20:17:38;817
+79122841287;+79631996163;2020-04-09 15:39:17;537
+79778843365;+79106136629;2020-03-16 10:27:09;646
+79791034266;+79547188840;2020-03-20 00:26:50;525
+79083030674;+79252289226;2020-03-29 09:38:09;-2
+79362184105;+79034687853;2020-04-05 00:52:40;780
+79648800217;+79182394133;2020-04-17 04:19:15;365
+79408339549;+79463220045;2020-01-09 19:25:55;788
+79640319752;+79715339227;2020-01-12 09:26:23;984
+79980275762;+79260230056;2020-01-17 17:47:35;710
+79410415253;+79956785183;2020-01-02 03:52:28;-2
+79211341670;+79487539291;2020-02-02 00:05:47;895
+79220722240;+79260230056;2020-03-13 20:48:48;577
+79058572211;+79381552101;2020-01-30 23:54:36;-1
+79269739830;+79074614693;2020-02-09 04:24:50;-2
+79559277331;+79146832755;2020-01-24 02:26:35;-1
+79721046072;+79260230056;2020-05-08 21:00:14;173
+79200310497;+79066827133;2020-03-17 11:29:23;-1
+79034687853;+79536661498;2020-05-13 01:47:22;894
+79274194203;+79241167134;2020-05-17 15:30:32;58
+79267757119;+79235643827;2020-05-17 17:47:18;45
+79400555439;+79841430347;2020-03-05 00:21:28;27
+79854083981;+79148864251;2020-04-25 09:50:31;-1
+79692861255;+79766119936;2020-04-05 09:34:03;665
+79210856463;+79825939824;2020-03-25 15:35:00;433
+79267057194;+79975889517;2020-05-03 07:00:56;843
+79888420719;+79381552101;2020-05-14 11:17:55;357
+79935970995;+79255872032;2020-04-30 04:23:55;687
+79825939824;+79645083008;2020-01-08 16:10:49;214
+79424809349;+79471704590;2020-05-12 13:40:11;341
+79655001043;+79784102595;2020-03-29 02:12:27;47
+79763084521;+79980102359;2020-04-30 17:51:01;363
+79625140868;+79028696923;2020-04-07 21:41:43;35
+79084009750;+79510211344;2020-04-04 03:04:13;322
+79693220327;+79505911293;2020-01-05 14:55:59;572
+79412045716;+79664169612;2020-03-11 19:22:39;-2
+79314123360;+79162841289;2020-01-12 07:03:04;-1
+79817609499;+79766988037;2020-01-25 17:58:06;801
+79500089893;+79939202429;2020-05-04 22:22:21;612
+79261435570;+79693220327;2020-03-07 13:29:15;724
+79664169612;+79605796779;2020-02-09 20:02:08;811
+79945802865;+79692861255;2020-03-18 22:59:29;734
+79267068674;+79657139198;2020-01-21 05:37:45;632
+79791661835;+79065688312;2020-03-11 23:03:54;139
+79570080796;+79834130783;2020-04-11 06:24:06;933
+79902196007;+79498453872;2020-02-22 21:54:37;566
+79044287048;+79359217534;2020-05-10 05:22:00;216
+79681839690;+79841430347;2020-03-24 19:22:05;854
+79980275762;+79489005245;2020-03-25 08:12:05;285
+79524876551;+79235191373;2020-05-07 17:27:13;269
+79808404470;+79473584346;2020-01-22 20:34:58;-1
+79203949464;+79176303690;2020-01-10 16:05:15;401
+79911048465;+79580560086;2020-02-27 20:08:29;292
+79219775531;+79661780724;2020-04-22 12:15:44;295
+79015470564;+79926484537;2020-04-15 09:56:46;425
+79209635425;+79219775531;2020-01-28 14:04:33;-2
+79704937503;+79660286108;2020-04-27 06:18:00;889
+79896237169;+79621745227;2020-05-26 15:36:05;760
+79269739830;+79614336834;2020-04-10 05:20:38;425
+79570221927;+79412045716;2020-02-16 23:20:09;377
+79813507084;+79261589939;2020-05-06 03:33:25;606
+79396450711;+79839264101;2020-03-15 20:38:17;247
+79887691115;+79548961508;2020-01-03 15:16:50;-1
+79993486801;+79740478483;2020-03-07 14:14:33;646
+79854083981;+79868672152;2020-04-22 22:45:37;649
+79545086785;+79400989298;2020-02-20 06:05:07;52
+79381434569;+79355756271;2020-04-15 03:20:01;23
+79799884052;+79379726440;2020-02-04 09:08:58;-2
+79322061386;+79423323771;2020-02-17 20:12:23;892
+79794344500;+79848820681;2020-04-01 12:12:44;490
+79868672152;+79160231643;2020-01-08 02:25:24;111
+79095914385;+79640319752;2020-03-08 20:19:05;310
+79441072193;+79777755232;2020-03-09 09:35:56;874
+79241167134;+79322061386;2020-04-09 00:29:45;-1
+79445474633;+79697026786;2020-04-25 14:37:03;881
+79319654713;+79354282782;2020-03-14 13:45:56;904
+79524876551;+79381958936;2020-02-20 09:51:53;-2
+79827938649;+79090689603;2020-05-18 07:44:12;428
+79182941837;+79207211627;2020-03-19 04:59:08;65
+79513712192;+79379726440;2020-03-06 14:35:04;110
+79931039617;+79960813237;2020-05-11 00:55:53;813
+79071086202;+79594742232;2020-01-26 00:20:25;596
+79794344500;+79551562689;2020-01-19 20:13:38;-2
+79447324401;+79094131378;2020-02-03 16:28:33;-2
+79663826885;+79385592937;2020-05-13 20:51:07;846
+79065688312;+79315843010;2020-05-08 08:52:09;353
+79171149666;+79097661017;2020-04-04 05:25:30;-1
+79128336240;+79834130783;2020-01-03 07:17:32;261
+79848820681;+79832921923;2020-05-08 17:05:15;445
+79071086202;+79377134678;2020-02-24 18:10:44;-1
+79975889517;+79463501333;2020-04-10 07:58:35;854
+79287529631;+79318623738;2020-05-11 05:07:12;614
+79880977698;+79391656982;2020-05-07 17:45:26;439
+79376249781;+79293755548;2020-03-23 04:52:27;517
+79315843010;+79434102847;2020-03-25 03:27:57;716
+79315843010;+79082027467;2020-03-30 03:30:55;700
+79362184105;+79058054767;2020-04-26 17:12:01;180
+79895835760;+79791661835;2020-04-20 10:54:31;377
+79753877737;+79319654713;2020-04-16 20:58:33;301
+79513712192;+79210243119;2020-05-10 22:36:28;688
+79355756271;+79522674940;2020-03-02 22:16:15;-1
+79880063064;+79543551151;2020-02-07 18:30:46;-1
+79536661498;+79559277331;2020-05-10 16:01:59;333
+79693220327;+79648026276;2020-04-29 10:46:27;439
+79318886864;+79602587005;2020-05-08 05:50:49;193
+79267285698;+79211341670;2020-01-05 16:20:05;-1
+79513712192;+79032874068;2020-01-20 01:29:32;554
+79948925259;+79440794991;2020-03-28 14:56:29;-1
+79547188840;+79613856090;2020-03-29 04:24:55;450
+79137376844;+79813008149;2020-02-03 04:17:45;949
+79952081307;+79232620275;2020-04-20 03:40:37;961
+79980275762;+79182394133;2020-04-17 04:17:14;654
+79221204780;+79091469024;2020-04-02 01:03:14;911
+79015470564;+79333457741;2020-02-19 12:48:09;309
+79788721509;+79105284330;2020-03-22 22:51:17;759
+79293755548;+79955195228;2020-05-11 17:43:21;885
+79547188840;+79416150594;2020-04-07 15:46:31;427
+79213185384;+79721573398;2020-05-08 10:04:56;-2
+79570221927;+79032303132;2020-05-29 00:26:59;25
+79777755232;+79665470635;2020-03-02 23:18:49;949
+79831336961;+79066028576;2020-03-14 09:36:32;380
+79346102002;+79066028576;2020-01-04 10:18:15;74
+79898490311;+79785570693;2020-03-27 02:57:13;921
+79590518050;+79815576623;2020-01-04 04:06:51;690
+79663826885;+79808425823;2020-02-24 00:42:06;210
+79260230056;+79232174892;2020-05-19 06:29:03;508
+79743872599;+79808425823;2020-03-14 16:57:08;507
+79114623450;+79500089893;2020-01-01 07:24:58;-2
+79952081307;+79084238781;2020-02-14 10:30:20;469
+79207211627;+79426855814;2020-02-17 22:04:51;340
+79888155548;+79715339227;2020-05-11 15:46:05;218
+79660953259;+79755448270;2020-02-18 12:07:29;250
+79211341670;+79994325594;2020-04-05 00:02:17;371
+79362184105;+79028696923;2020-04-15 11:13:55;-2
+79709028118;+79192527940;2020-03-24 00:43:16;691
+79543551151;+79570457507;2020-02-28 07:10:48;155
+79354282782;+79671132864;2020-02-25 22:55:33;-2
+79831336961;+79665470635;2020-01-27 07:51:19;644
+79275748926;+79817609499;2020-03-12 15:07:07;875
+79979138128;+79032303132;2020-05-13 09:43:17;-1
+79880490672;+79044751342;2020-03-02 11:28:41;88
+79235643827;+79113765856;2020-04-25 13:13:17;618
+79916830644;+79094666319;2020-03-27 05:25:35;-2
+79411765984;+79359217534;2020-01-16 13:35:02;247
+79850299486;+79267068674;2020-02-09 01:07:34;467
+79200310497;+79997463702;2020-02-02 17:00:11;-2
+79319654713;+79808404470;2020-04-25 10:52:59;-2
+79813400347;+79944966369;2020-02-05 13:40:56;607
+79681839690;+79603451681;2020-04-06 17:02:17;954
+79547188840;+79704937503;2020-05-21 10:17:13;757
+79411765984;+79911048465;2020-01-21 14:15:37;750
+79870237946;+79831336961;2020-01-07 23:16:28;-2
+79227186419;+79291708826;2020-03-11 14:38:35;740
+79687304268;+79163377741;2020-03-31 04:51:06;767
+79054026179;+79381434569;2020-05-01 13:11:58;539
+79261435570;+79822792838;2020-01-20 18:38:40;224
+79110903456;+79463501333;2020-03-04 08:24:42;470
+79337048221;+79208784399;2020-01-27 13:09:47;360
+79357369448;+79083030674;2020-05-23 07:48:47;-2
+79868672152;+79813400347;2020-05-21 07:36:54;876
+79803802876;+79864088078;2020-04-25 07:13:28;687
+79094131378;+79586348704;2020-03-26 09:07:17;136
+79799884052;+79913144486;2020-05-30 17:52:19;485
+79472464010;+79321543302;2020-05-09 22:35:40;427
+79210856463;+79697026786;2020-05-08 14:50:30;950
+79931039617;+79065688312;2020-03-21 06:17:37;883
+79146832755;+79119914000;2020-04-28 18:41:06;275
+79871556516;+79656190881;2020-01-06 09:19:25;840
+79450717457;+79830588607;2020-01-20 03:35:52;774
+79583109002;+79815576623;2020-03-31 21:55:11;455
+79416150594;+79411765984;2020-05-09 06:37:40;879
+79043147455;+79893144987;2020-02-04 11:43:16;902
+79209106731;+79753877737;2020-05-29 21:04:55;885
+79114623450;+79325634693;2020-02-17 12:10:34;253
+79325634693;+79699925860;2020-02-09 06:19:28;404
+79408339549;+79274194203;2020-02-23 17:01:04;688
+79440645476;+79839351464;2020-04-12 06:32:31;127
+79203949464;+79777755232;2020-03-25 18:51:47;-2
+79926484537;+79524876551;2020-01-18 02:43:33;-1
+79320590135;+79828419074;2020-02-01 19:55:13;880
+79847387615;+79602573462;2020-01-02 18:22:27;612
+79583109002;+79784102595;2020-03-04 10:42:14;538
+79896166873;+79241167134;2020-03-10 03:53:54;158
+79906939777;+79032303132;2020-02-01 07:05:51;601
+79839264101;+79945802865;2020-04-17 00:38:47;116
+79843203441;+79815576623;2020-03-02 00:30:37;183
+79700005937;+79952081307;2020-03-30 19:17:38;485
+79160231643;+79901986584;2020-01-17 07:17:47;-2
+79013483459;+79200310497;2020-01-15 22:14:51;697
+79267057194;+79050148508;2020-01-18 19:00:30;-1
+79868672152;+79741634772;2020-03-31 12:40:29;146
+79440794991;+79888155548;2020-01-29 19:54:50;567
+79071086202;+79741634772;2020-01-01 17:39:20;404
+79477152666;+79704939239;2020-05-04 21:09:38;93
+79267285698;+79750149565;2020-03-12 01:00:23;855
+79832921923;+79524876551;2020-02-21 03:49:50;186
+79652271658;+79450367114;2020-01-22 09:08:00;887
+79450367114;+79837498700;2020-01-13 03:39:10;412
+79888420719;+79847387615;2020-02-02 22:54:32;-2
+79993486801;+79696429332;2020-05-09 18:16:30;570
+79423323771;+79026152705;2020-04-20 08:38:05;-1
+79911048465;+79819376145;2020-03-02 06:50:08;448
+79379726440;+79097661017;2020-04-29 07:15:43;80
+79731568994;+79243702390;2020-01-27 18:00:19;852
+79240960136;+79113449774;2020-03-10 17:24:59;-1
+79926484537;+79305179732;2020-04-04 17:22:11;-2
+79137538995;+79551562689;2020-05-21 05:00:28;909
+79812468800;+79932907826;2020-03-20 17:01:40;200
+79303782901;+79035723941;2020-05-16 20:06:28;759
+79837220851;+79717894676;2020-01-10 19:45:24;934
+79209635425;+79696031290;2020-04-29 04:51:47;-1
+79264808473;+79137538995;2020-02-19 10:21:21;512
+79274194203;+79253110192;2020-03-11 11:03:16;81
+79626551982;+79320590135;2020-01-01 02:04:46;-2
+79505911293;+79626551982;2020-05-22 16:23:41;214
+79834130783;+79325634693;2020-02-05 22:31:53;-1
+79137376844;+79731568994;2020-03-06 19:17:14;855
+79173322577;+79240960136;2020-03-14 22:15:22;67
+79827873183;+79357369448;2020-01-16 18:53:18;676
+79557850912;+79160231643;2020-03-17 14:13:04;849
+79090060130;+79015470564;2020-03-05 04:42:21;-1
+79106136629;+79747983853;2020-05-28 23:10:56;26
+79267285698;+79681839690;2020-05-03 17:28:52;714
+79191866654;+79580560086;2020-05-02 13:34:39;204
+79449133819;+79341732226;2020-05-23 14:12:10;-2
+79034687853;+79243702390;2020-02-12 16:19:12;426
+79878847274;+79868672152;2020-05-15 18:16:03;615
+79621745227;+79051329031;2020-01-19 06:41:51;934
+79975889517;+79948925259;2020-03-04 06:12:53;-1
+79487305727;+79113187342;2020-01-17 16:55:29;-1
+79058054767;+79880675713;2020-01-26 12:45:59;-2
+79995750441;+79043147455;2020-05-06 09:39:08;535
+79472980535;+79096613312;2020-04-02 05:23:06;383
+79766364851;+79096613312;2020-02-07 08:31:21;170
+79785570693;+79325634693;2020-02-01 15:59:09;495
+79377134678;+79113449774;2020-01-20 00:43:58;289
+79871357830;+79074614693;2020-01-11 14:40:57;99
+79687031290;+79955195228;2020-04-17 00:41:06;-2
+79699925860;+79275584616;2020-03-17 00:52:27;-2
+79381552101;+79715339227;2020-03-01 08:44:32;617
+79704127241;+79902196007;2020-02-18 23:42:46;846
+79113187342;+79788721509;2020-01-09 23:38:37;752
+79435850776;+79472464010;2020-05-10 00:20:32;56
+79605796779;+79137538995;2020-01-09 22:03:47;363
+79693220327;+79113449774;2020-03-04 02:27:02;203
+79473584346;+79440794991;2020-01-30 10:08:59;-1
+79580560086;+79648800217;2020-01-30 02:29:43;-2
+79570080796;+79741473601;2020-03-23 08:53:11;301
+79293755548;+79094666319;2020-02-07 21:05:20;123
+79130522335;+79556546669;2020-05-17 04:19:30;867
+79267068674;+79743872599;2020-03-22 13:04:45;-2
+79203949464;+79086475382;2020-05-28 17:55:56;-2
+79962088970;+79129144235;2020-04-20 21:51:02;694
+79839351464;+79291708826;2020-02-05 13:33:10;375
+79255872032;+79411765984;2020-02-09 15:39:34;971
+79913144486;+79975889517;2020-02-05 11:16:01;913
+79680307351;+79443646159;2020-01-05 05:00:05;371
+79737705733;+79862422057;2020-02-08 23:13:37;310
+79200310497;+79888420719;2020-05-14 12:06:46;603
+79661780724;+79664169612;2020-02-04 01:46:34;-2
+79406775688;+79970343873;2020-05-25 15:16:08;-2
+79898490311;+79486904218;2020-03-06 09:01:31;682
+79534530682;+79514451156;2020-01-13 23:33:58;505
+79916830644;+79071086202;2020-04-30 21:18:52;229
+79954659313;+79926444889;2020-02-19 03:09:12;-2
+79613856090;+79926484537;2020-03-11 18:24:25;801
